,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
19210,Basic Membership,4990.94,628.55,Poor Customer Service,1
19211,Basic Membership,43848.41,779.4037136462728,Too many ads,1
19212,Silver Membership,8150.9,793.32,No reason specified,0
19213,Gold Membership,1568.94,127.72250122590742,No reason specified,1
19214,Gold Membership,36362.93,629.58,Too many ads,1
19215,Platinum Membership,39168.15,766.97,Poor Website,0
19216,Silver Membership,2022.86,600.46,Poor Customer Service,1
19217,Basic Membership,31267.49,898.389827701773,No reason specified,1
19218,Silver Membership,61952.81,0.0,Products always in Stock,0
19219,Silver Membership,17858.24,615.93,Poor Product Quality,0
19220,Gold Membership,15841.42,674.34,Poor Customer Service,1
19221,Gold Membership,49335.58,1036.7758609512666,Too many ads,0
19222,Gold Membership,45632.89,677.38,No reason specified,1
19223,Platinum Membership,19123.91,705.69,Poor Website,0
19224,Basic Membership,16882.1,544.67,Poor Product Quality,1
19225,Premium Membership,4778.31,748.4,Poor Customer Service,0
19226,Platinum Membership,19310.81,374.2002955334783,Poor Customer Service,0
19227,Platinum Membership,20225.55,782.8,Poor Website,0
19228,No Membership,49743.62,661.36,Poor Customer Service,1
19229,Gold Membership,45767.83,444.8542446931929,Poor Website,1
19230,Premium Membership,12709.03,357.3426225979017,User Friendly Website,0
19231,No Membership,49445.46,0.0,Poor Product Quality,1
19232,No Membership,34121.08,693.6,Poor Website,1
19233,Platinum Membership,24669.49,707.43,Poor Product Quality,0
19234,Basic Membership,48431.1,618.22,Too many ads,1
19235,Gold Membership,1293.03,734.4,Poor Website,0
19236,Basic Membership,11521.12,675.44,Poor Product Quality,1
19237,Premium Membership,18824.72,786.35,Poor Customer Service,0
19238,Gold Membership,11326.54,791.27,Poor Customer Service,0
19239,Basic Membership,43582.49,0.0,No reason specified,1
19240,Gold Membership,35824.78,0.0,Poor Website,1
19241,Silver Membership,40251.7,646.2,No reason specified,1
19242,Platinum Membership,41906.44,791.77,Quality Customer Care,0
19243,Silver Membership,83685.7,0.0,Products always in Stock,0
19244,Silver Membership,7505.6,716.71,Poor Website,1
19245,Basic Membership,20557.01,533.3,No reason specified,1
19246,Silver Membership,12119.48,700.69,Too many ads,0
19247,Gold Membership,34125.95,397.4459594862488,Too many ads,0
19248,Basic Membership,24734.57,608.3,Too many ads,1
19249,Silver Membership,33201.05,775.54,Poor Product Quality,0
19250,Basic Membership,46169.04,0.0,Too many ads,1
19251,Gold Membership,85876.71,763.52,Quality Customer Care,0
19252,No Membership,7865.71,0.0,Poor Website,1
19253,Platinum Membership,845.35,746.58,No reason specified,0
19254,No Membership,7628.47,653.68,Poor Website,1
19255,Basic Membership,7052.1,660.9,No reason specified,1
19256,No Membership,26070.77,0.0,Poor Website,1
19257,Premium Membership,66842.01,847.78,User Friendly Website,0
19258,Platinum Membership,36798.98,756.58,User Friendly Website,0
19259,Platinum Membership,13938.29,744.75,Poor Website,0
19260,No Membership,23349.83,527.49,Poor Website,1
19261,Premium Membership,60127.03,773.45,Products always in Stock,0
19262,Premium Membership,64858.34,725.77,User Friendly Website,0
19263,Basic Membership,9796.82,709.23,Poor Product Quality,1
19264,Premium Membership,60921.98,785.57,Quality Customer Care,0
19265,Silver Membership,41233.38,612.14,Poor Customer Service,1
19266,Silver Membership,38206.2,665.65,Poor Product Quality,1
19267,No Membership,33673.84,629.56,Poor Customer Service,1
19268,Basic Membership,38277.46,523.73,Too many ads,1
19269,Basic Membership,14580.19,622.13,No reason specified,1
19270,Gold Membership,43241.1,789.03,Poor Product Quality,0
19271,Gold Membership,35453.71,774.73,Poor Website,0
19272,Platinum Membership,47165.54,774.24,Too many ads,0
19273,No Membership,29392.7,687.01,No reason specified,1
19274,Basic Membership,8658.07,563.99,Poor Product Quality,1
19275,Premium Membership,5624.87,712.28,Poor Website,0
19276,Basic Membership,39842.01,652.94,Poor Product Quality,1
19277,Silver Membership,48389.49,705.24,Poor Website,1
19278,Gold Membership,48325.75,648.8,Too many ads,1
19279,Gold Membership,24232.66,789.51,Poor Product Quality,0
19280,No Membership,3622.05,0.0,Too many ads,1
19281,Premium Membership,34611.1,743.42,Too many ads,0
19282,Silver Membership,29068.59,766.75,Poor Customer Service,0
19283,No Membership,35069.02,615.43,No reason specified,1
19284,Silver Membership,38978.82,1066.6341902896231,Poor Product Quality,1
19285,No Membership,23532.67,626.08,Poor Customer Service,1
19286,Premium Membership,28671.29,718.18,Too many ads,0
19287,No Membership,41719.64,676.75,Poor Product Quality,1
19288,Silver Membership,35814.55,669.95,Too many ads,1
19289,No Membership,39455.6,873.0149040992454,Poor Customer Service,1
19290,Platinum Membership,16539.02,741.19,No reason specified,0
19291,Basic Membership,41235.21,854.7714476405611,Too many ads,1
19292,Platinum Membership,17298.84,706.46,Poor Customer Service,0
19293,Platinum Membership,56854.93,768.66,Reasonable Price,0
19294,Premium Membership,39735.39,726.1,User Friendly Website,0
19295,No Membership,18744.15,702.05,Too many ads,1
19296,No Membership,30701.2,526.97,Poor Customer Service,1
19297,Silver Membership,25461.75,712.33,Poor Website,0
19298,Premium Membership,74793.04,798.33,Quality Customer Care,0
19299,Platinum Membership,37238.96,0.0,Poor Customer Service,0
19300,No Membership,14340.54,607.54,Too many ads,1
19301,Premium Membership,6345.94,0.0,Poor Product Quality,0
19302,Platinum Membership,9699.58,760.33,Poor Website,0
19303,Premium Membership,7584.14,711.09,No reason specified,0
19304,No Membership,13783.56,705.77,Too many ads,1
19305,No Membership,40226.5,522.39,Poor Product Quality,1
19306,Premium Membership,6690.98,774.57,Poor Product Quality,0
19307,Silver Membership,8861.92,343.2221010180468,Too many ads,0
19308,No Membership,44781.85,518.08,Poor Product Quality,1
19309,Basic Membership,1403.66,617.26,Too many ads,1
19310,Basic Membership,16289.49,1099.4770622544363,Poor Customer Service,1
19311,Silver Membership,39489.87,787.21,Poor Customer Service,0
19312,Silver Membership,18592.99,732.28,Too many ads,0
19313,No Membership,4834.49,0.0,No reason specified,1
19314,Basic Membership,18845.8,631.98,No reason specified,1
19315,Basic Membership,11498.8,642.95,Poor Website,1
19316,Premium Membership,8799.73,768.0,Quality Customer Care,0
19317,Gold Membership,21854.77,918.3678974426032,Poor Product Quality,1
19318,No Membership,45711.98,628.01,Poor Product Quality,1
19319,Gold Membership,47682.83,677.14,Poor Product Quality,1
19320,No Membership,35108.5,0.0,Too many ads,0
19321,No Membership,37858.63,502.45,Poor Customer Service,1
19322,Basic Membership,46002.23,565.46,No reason specified,1
19323,No Membership,8739.01,276.5817050454417,No reason specified,1
19324,Basic Membership,37889.0,510.79,No reason specified,1
19325,Basic Membership,28060.84,713.08,Poor Product Quality,1
19326,No Membership,21722.95,1112.1725705736017,Poor Website,1
19327,Premium Membership,85689.36,723.81,User Friendly Website,0
19328,No Membership,9248.26,633.78,Poor Website,1
19329,No Membership,24529.84,613.48,Poor Website,1
19330,No Membership,29204.67,0.0,Poor Product Quality,1
19331,No Membership,47889.56,192.53488562956363,No reason specified,1
19332,Basic Membership,46631.89,1214.05354856466,Poor Customer Service,1
19333,No Membership,33586.01,0.0,Too many ads,1
19334,No Membership,8742.57,687.5,Poor Website,1
19335,Basic Membership,5413.21,651.49,No reason specified,1
19336,Gold Membership,42427.69,799.01,Products always in Stock,0
19337,Premium Membership,13534.18,0.0,Too many ads,0
19338,Basic Membership,29630.87,609.05,Too many ads,1
19339,Silver Membership,12779.19,624.72,No reason specified,1
19340,No Membership,11478.75,685.39,Poor Customer Service,1
19341,Basic Membership,21696.63,551.6,Poor Product Quality,1
19342,No Membership,47876.38,671.69,Poor Product Quality,1
19343,Premium Membership,8195.65,1314.328625597784,Poor Website,0
19344,Basic Membership,3264.73,673.56,Too many ads,1
19345,Premium Membership,16388.76,763.18,Products always in Stock,0
19346,Gold Membership,30981.57,1212.031809732856,Too many ads,1
19347,No Membership,24165.02,620.0,Poor Customer Service,1
19348,Silver Membership,46722.33,1151.0306839700302,Poor Website,0
19349,No Membership,46748.15,572.79,Poor Customer Service,1
19350,Premium Membership,26012.49,776.05,Quality Customer Care,0
19351,Silver Membership,46093.82,667.1,Poor Website,1
19352,Gold Membership,59660.13,805.62,Reasonable Price,0
19353,Gold Membership,45509.27,741.7,Poor Website,0
19354,Basic Membership,42243.46,645.67,Poor Product Quality,1
19355,Basic Membership,21135.93,693.54,Poor Customer Service,1
19356,No Membership,5994.29,198.02793438626983,Poor Product Quality,1
19357,Basic Membership,27635.35,512.45,Poor Website,1
19358,Gold Membership,70445.63,844.25,Products always in Stock,0
19359,Premium Membership,22877.59,726.72,Poor Product Quality,0
19360,Basic Membership,4307.8,0.0,Poor Website,1
19361,Silver Membership,21587.57,0.0,Poor Customer Service,0
19362,Silver Membership,3980.51,704.02,Poor Customer Service,1
19363,Platinum Membership,37184.68,719.48,Too many ads,0
19364,Silver Membership,6007.05,702.35,No reason specified,0
19365,Silver Membership,25416.17,662.04,Poor Customer Service,1
19366,Platinum Membership,5029.09,752.79,Too many ads,0
19367,Silver Membership,22674.04,0.0,Poor Product Quality,1
19368,Platinum Membership,5428.83,702.6,Too many ads,0
19369,Gold Membership,10942.51,647.63,Poor Website,1
19370,Premium Membership,30156.97,713.45,Too many ads,0
19371,Silver Membership,41153.5,644.7,No reason specified,1
19372,No Membership,24563.31,719.27,Poor Website,1
19373,Platinum Membership,63459.89,0.0,Reasonable Price,0
19374,Basic Membership,10074.99,613.71,No reason specified,1
19375,No Membership,39274.73,607.33,Poor Product Quality,1
19376,Basic Membership,14891.02,645.25,No reason specified,1
19377,Premium Membership,24214.55,569.2370473289127,Reasonable Price,0
19378,No Membership,20390.63,572.61,Too many ads,1
19379,Platinum Membership,16030.0,799.83,Poor Product Quality,0
19380,Platinum Membership,36857.31,734.57,Reasonable Price,0
19381,Basic Membership,26640.83,0.0,Poor Customer Service,1
19382,Premium Membership,17638.66,727.55,No reason specified,0
19383,Platinum Membership,45374.55,779.26,Poor Customer Service,0
19384,Premium Membership,35974.45,781.96,Poor Customer Service,0
19385,Silver Membership,15977.08,669.93,No reason specified,1
19386,Basic Membership,37932.11,0.0,Too many ads,1
19387,No Membership,28342.19,659.59,Poor Product Quality,1
19388,Platinum Membership,38012.69,717.64,Poor Customer Service,0
19389,Basic Membership,8931.85,0.0,Poor Product Quality,1
19390,Silver Membership,56999.94,1062.8753359303923,Reasonable Price,0
19391,No Membership,5042.61,673.71,Poor Product Quality,1
19392,No Membership,14223.23,524.91,Poor Website,1
19393,Silver Membership,25984.34,614.59,Poor Product Quality,1
19394,Premium Membership,43322.54,764.09,No reason specified,0
19395,Gold Membership,40502.72,948.4535672063756,Poor Website,1
19396,Premium Membership,34465.8,777.4,Quality Customer Care,0
19397,Basic Membership,31732.47,699.08,Poor Website,1
19398,Basic Membership,40962.26,0.0,Poor Customer Service,1
19399,Premium Membership,4211.68,230.71310483168128,Poor Customer Service,0
19400,Basic Membership,26634.27,621.99,Too many ads,0
19401,Silver Membership,49118.52,720.88,Too many ads,0
19402,Silver Membership,20268.41,1057.564321287364,Poor Website,0
19403,No Membership,9078.2,524.93,Too many ads,1
19404,No Membership,21966.14,629.18,Poor Customer Service,1
19405,Gold Membership,49044.09,0.0,Poor Website,0
19406,Basic Membership,37065.74,1010.6605764155948,Poor Product Quality,1
19407,Basic Membership,15134.27,541.99,Poor Website,1
19408,No Membership,43019.51,690.7,No reason specified,1
19409,Silver Membership,2607.21,49.56274867182572,Too many ads,1
19410,Platinum Membership,40322.19,752.79,Too many ads,0
19411,Platinum Membership,22927.81,725.12,Poor Website,0
19412,Premium Membership,24861.67,778.18,Too many ads,0
19413,No Membership,28308.1,548.45,Poor Website,1
19414,Premium Membership,39529.69,798.51,No reason specified,0
19415,Platinum Membership,24856.51,780.05,Too many ads,0
19416,Basic Membership,15373.67,532.12,No reason specified,1
19417,Premium Membership,22112.05,1379.6677530126403,Reasonable Price,0
19418,Silver Membership,36189.6,769.28,No reason specified,0
19419,Basic Membership,35749.53,1077.4463908558628,Poor Customer Service,1
19420,Gold Membership,22956.26,757.37,Poor Website,0
19421,No Membership,11884.25,679.55,Poor Website,1
19422,Gold Membership,32070.12,0.0,Poor Product Quality,1
19423,Platinum Membership,29694.71,408.8359806243649,Reasonable Price,0
19424,Platinum Membership,25304.7,781.05,Poor Product Quality,0
19425,No Membership,26409.27,648.78,Poor Website,0
19426,Platinum Membership,9631.39,768.73,Poor Website,0
19427,Gold Membership,46095.75,773.47,User Friendly Website,0
19428,Gold Membership,42254.94,797.59,No reason specified,0
19429,Basic Membership,20674.24,0.0,Too many ads,1
19430,Premium Membership,10624.01,729.72,Poor Website,0
19431,Platinum Membership,20476.42,389.9655922700867,Poor Customer Service,0
19432,Basic Membership,41693.61,689.53,No reason specified,1
19433,Platinum Membership,49055.65,790.16,Poor Website,0
19434,Premium Membership,7174.22,712.33,Poor Website,0
19435,No Membership,1363.24,612.11,Poor Product Quality,1
19436,No Membership,37220.68,635.44,No reason specified,1
19437,Gold Membership,43939.21,748.41,User Friendly Website,0
19438,Platinum Membership,33366.38,790.56,Quality Customer Care,0
19439,Premium Membership,23892.3,738.94,Poor Website,0
19440,No Membership,3952.18,551.69,No reason specified,1
19441,Basic Membership,46052.64,681.59,Poor Website,1
19442,Silver Membership,47960.07,0.0,Reasonable Price,0
19443,Gold Membership,15939.13,745.59,Poor Customer Service,0
19444,Platinum Membership,12182.94,763.9,Poor Product Quality,0
19445,Platinum Membership,40728.97,759.36,Poor Website,0
19446,Gold Membership,40826.92,705.61,Too many ads,1
19447,Premium Membership,24498.81,758.2,Products always in Stock,0
19448,No Membership,10166.18,632.49,Poor Customer Service,1
19449,No Membership,32146.87,617.04,Poor Customer Service,1
19450,Basic Membership,25824.08,292.9271774528279,Poor Website,1
19451,Silver Membership,26432.56,765.3,Too many ads,0
19452,No Membership,40566.26,546.47,Too many ads,1
19453,Premium Membership,24542.89,0.0,Too many ads,0
19454,Premium Membership,42681.68,786.78,Poor Website,0
19455,Basic Membership,20277.25,560.85,Poor Customer Service,1
19456,No Membership,10167.28,645.28,Poor Customer Service,1
19457,Gold Membership,19591.76,625.57,No reason specified,1
19458,Gold Membership,18877.18,1095.154227405469,Poor Website,1
19459,No Membership,19872.02,651.46,Poor Product Quality,1
19460,Gold Membership,27598.33,698.09,No reason specified,1
19461,Basic Membership,48736.85,688.03,Too many ads,1
19462,Basic Membership,40265.08,684.31,Poor Product Quality,1
19463,No Membership,39237.56,558.37,No reason specified,1
19464,Premium Membership,87934.14,769.15,Products always in Stock,0
19465,Platinum Membership,8656.06,727.32,Poor Customer Service,0
19466,Basic Membership,8851.45,601.61,Poor Customer Service,1
19467,No Membership,36480.69,583.98,Poor Website,1
19468,Gold Membership,6389.0,1030.5109170248982,Poor Customer Service,1
19469,Gold Membership,72848.99,775.55,User Friendly Website,0
19470,Basic Membership,2872.14,707.39,Poor Customer Service,1
19471,No Membership,19590.05,658.69,No reason specified,1
19472,Basic Membership,26888.84,650.27,Poor Customer Service,1
19473,Silver Membership,35998.62,678.35,Poor Product Quality,1
19474,Basic Membership,32332.01,619.01,Poor Website,1
19475,Gold Membership,5381.23,762.57,Poor Product Quality,0
19476,No Membership,22558.21,0.0,No reason specified,1
19477,Basic Membership,3605.02,642.85,Poor Customer Service,1
19478,No Membership,4104.05,585.61,No reason specified,1
19479,Platinum Membership,85401.88,720.64,Products always in Stock,0
19480,Basic Membership,34947.98,694.64,Poor Customer Service,1
19481,Gold Membership,42965.53,630.68,Poor Product Quality,1
19482,Basic Membership,23988.12,651.94,No reason specified,0
19483,No Membership,16166.06,0.0,Poor Website,1
19484,No Membership,12672.95,1308.1982349710038,Poor Product Quality,1
19485,Silver Membership,35090.61,0.0,Too many ads,0
19486,Platinum Membership,29355.75,790.56,Too many ads,0
19487,Silver Membership,15497.35,604.71,Poor Customer Service,1
19488,Platinum Membership,26500.2,0.0,Poor Customer Service,0
19489,No Membership,47215.7,609.21,Poor Website,1
19490,No Membership,19789.74,533.41,Too many ads,1
19491,No Membership,39295.25,624.59,No reason specified,1
19492,Premium Membership,45647.09,0.0,Poor Customer Service,0
19493,Basic Membership,21885.81,140.73772329206767,Poor Customer Service,1
19494,Silver Membership,19357.34,772.12,Poor Customer Service,0
19495,Gold Membership,36343.26,631.58,No reason specified,1
19496,Basic Membership,48170.73,542.47,Poor Product Quality,1
19497,Silver Membership,17281.09,624.22,Poor Customer Service,1
19498,Premium Membership,90651.76,1085.140433255871,Reasonable Price,0
19499,Gold Membership,64855.87,0.0,User Friendly Website,0
19500,Silver Membership,44825.05,621.3,Poor Website,1
19501,Gold Membership,36512.71,1283.9497312658225,No reason specified,0
19502,Premium Membership,38546.05,781.16,No reason specified,0
19503,Platinum Membership,70339.96,744.02,Quality Customer Care,0
19504,No Membership,5958.95,644.06,Poor Website,1
19505,Gold Membership,76856.0,706.41,Quality Customer Care,0
19506,No Membership,39037.2,569.98,Poor Website,1
19507,Gold Membership,27456.06,714.76,Poor Customer Service,0
19508,Gold Membership,28285.36,772.2,Poor Customer Service,0
19509,Basic Membership,23171.59,661.55,Too many ads,1
19510,Gold Membership,22437.12,796.81,Too many ads,0
19511,Silver Membership,48377.76,1101.9099536466947,User Friendly Website,0
19512,Basic Membership,41297.65,604.84,Poor Customer Service,1
19513,No Membership,43442.41,486.38646262504,No reason specified,1
19514,No Membership,33836.95,616.51,Poor Product Quality,1
19515,Premium Membership,30908.33,785.58,User Friendly Website,0
19516,No Membership,12665.67,638.68,Poor Website,1
19517,Silver Membership,31418.36,770.41,Poor Website,0
19518,Gold Membership,10538.39,646.57,Poor Customer Service,1
19519,No Membership,44317.67,670.65,Too many ads,1
19520,Basic Membership,8266.54,619.88,Poor Website,1
19521,Gold Membership,36432.75,614.09,Poor Website,1
19522,Silver Membership,34809.29,652.66,Too many ads,1
19523,Premium Membership,70200.12,796.34,User Friendly Website,0
19524,Platinum Membership,11700.08,338.09077201062934,No reason specified,0
19525,Premium Membership,22532.57,771.35,Poor Customer Service,0
19526,Basic Membership,40236.57,647.61,No reason specified,1
19527,Basic Membership,42565.84,668.67,Poor Product Quality,1
19528,Gold Membership,32705.31,757.06,Poor Product Quality,0
19529,Premium Membership,23658.91,727.22,Poor Customer Service,0
19530,Premium Membership,9513.49,730.66,Poor Customer Service,0
19531,No Membership,3185.86,622.14,No reason specified,1
19532,No Membership,25826.64,878.6127704667634,Poor Product Quality,1
19533,Silver Membership,21788.17,702.44,Poor Customer Service,0
19534,Silver Membership,26059.88,602.65,Poor Website,1
19535,No Membership,41994.73,0.0,Too many ads,1
19536,Basic Membership,34266.13,525.86,Poor Product Quality,1
19537,Gold Membership,45800.25,780.78,Too many ads,0
19538,Gold Membership,5513.82,704.04,Poor Customer Service,1
19539,Gold Membership,22511.72,710.31,Too many ads,0
19540,Gold Membership,77441.41,1335.7911918541065,Reasonable Price,0
19541,Silver Membership,1762.45,758.7,Too many ads,0
19542,Silver Membership,50140.3,738.71,Quality Customer Care,0
19543,Basic Membership,28930.24,604.05,Poor Customer Service,1
19544,Platinum Membership,52059.98,1166.0332730113096,Products always in Stock,0
19545,Basic Membership,45831.42,1128.7529680641076,No reason specified,1
19546,Gold Membership,35699.69,779.96,Poor Product Quality,0
19547,No Membership,34006.84,570.7,Poor Product Quality,1
19548,Gold Membership,31521.05,746.73,Poor Product Quality,0
19549,Gold Membership,5246.29,790.92,Poor Website,0
19550,No Membership,5779.5,534.32,Poor Product Quality,1
19551,No Membership,5732.09,569.06,Too many ads,1
19552,Premium Membership,13528.49,776.78,Reasonable Price,0
19553,Basic Membership,46134.92,0.0,Poor Website,1
19554,Silver Membership,23628.99,770.45,No reason specified,0
19555,No Membership,27987.55,636.96,Poor Product Quality,1
19556,Basic Membership,42517.84,195.9447536487244,Poor Customer Service,1
19557,Platinum Membership,79836.71,735.1,Products always in Stock,0
19558,Basic Membership,25523.91,572.12,Poor Product Quality,1
19559,Basic Membership,31776.68,687.81,Poor Customer Service,1
19560,Basic Membership,25062.81,695.68,Poor Website,1
19561,No Membership,32501.04,1075.177755441505,No reason specified,1
19562,Silver Membership,37841.36,729.79,Poor Product Quality,0
19563,Premium Membership,14366.25,791.02,Poor Product Quality,0
19564,Silver Membership,28454.97,722.9,Poor Customer Service,0
19565,Gold Membership,28881.34,707.04,Poor Product Quality,0
19566,Gold Membership,43145.0,0.0,Poor Product Quality,0
19567,Silver Membership,2518.01,0.0,Poor Website,0
19568,Gold Membership,32326.08,653.7,Too many ads,1
19569,Platinum Membership,43280.21,710.42,Poor Website,0
19570,No Membership,45222.55,551.99,Poor Product Quality,1
19571,Premium Membership,34106.19,772.81,Poor Website,0
19572,Basic Membership,32342.68,606.67,No reason specified,1
19573,Platinum Membership,6022.06,1115.078653216853,No reason specified,0
19574,Platinum Membership,34457.71,714.8,User Friendly Website,0
19575,Basic Membership,47519.39,590.1,Too many ads,1
19576,Silver Membership,28614.97,0.0,Poor Customer Service,1
19577,Basic Membership,2930.55,694.11,Poor Product Quality,1
19578,Silver Membership,51168.03,730.94,User Friendly Website,0
19579,Gold Membership,11036.9,840.56,Quality Customer Care,0
19580,No Membership,19722.67,515.32,Poor Product Quality,1
19581,Gold Membership,73981.78,838.05,Products always in Stock,0
19582,Gold Membership,72730.77,708.73,User Friendly Website,0
19583,No Membership,29050.54,693.73,No reason specified,1
19584,Silver Membership,8442.41,784.88,Reasonable Price,0
19585,Basic Membership,22876.8,982.721593973146,Poor Customer Service,1
19586,Silver Membership,41362.75,719.43,Poor Product Quality,1
19587,Silver Membership,23993.05,602.09,Poor Website,1
19588,Gold Membership,27357.42,724.57,No reason specified,0
19589,Premium Membership,96880.5,763.69,Quality Customer Care,0
19590,Basic Membership,39867.46,666.67,Poor Product Quality,1
19591,Premium Membership,25442.39,703.72,Products always in Stock,0
19592,Gold Membership,15500.13,790.92,No reason specified,0
19593,Premium Membership,61264.21,738.42,Reasonable Price,0
19594,Basic Membership,42350.38,695.52,Poor Customer Service,1
19595,No Membership,8761.32,700.08,Too many ads,1
19596,Basic Membership,1449.19,633.39,Poor Website,1
19597,Basic Membership,14658.36,698.96,Too many ads,1
19598,Basic Membership,41059.65,0.0,Poor Website,1
19599,Premium Membership,47384.68,769.53,Too many ads,0
19600,Gold Membership,40057.67,631.51,Poor Product Quality,0
19601,Premium Membership,36670.52,769.49,User Friendly Website,0
19602,No Membership,2982.52,505.66,Poor Website,1
19603,Basic Membership,4392.34,966.540814489654,Poor Product Quality,1
19604,Platinum Membership,75295.2,739.69,Reasonable Price,0
19605,Silver Membership,44109.77,217.9464794099016,Too many ads,0
19606,Silver Membership,25880.01,718.07,No reason specified,0
19607,Platinum Membership,45190.35,725.15,Poor Product Quality,0
19608,Silver Membership,5400.48,708.25,Poor Website,1
19609,No Membership,41824.1,626.36,Poor Customer Service,1
19610,Basic Membership,6222.38,692.9,Poor Product Quality,1
19611,Platinum Membership,68054.09,832.19,Reasonable Price,0
19612,Premium Membership,2390.16,488.4405135928933,Too many ads,0
19613,No Membership,7150.81,693.98,Too many ads,1
19614,Basic Membership,17013.17,0.0,Too many ads,1
19615,Gold Membership,73463.55,794.79,Products always in Stock,0
19616,Silver Membership,34052.79,650.69,Poor Product Quality,1
19617,Gold Membership,24556.14,450.6455408784007,Reasonable Price,0
19618,Silver Membership,40797.89,1090.2678984020376,Poor Product Quality,0
19619,Platinum Membership,44098.57,754.42,Poor Website,0
19620,Gold Membership,10146.69,779.57,No reason specified,0
19621,Basic Membership,36083.36,546.7,Poor Customer Service,1
19622,No Membership,22571.71,87.10920894927608,Poor Customer Service,1
19623,Premium Membership,19359.53,723.44,Poor Website,0
19624,Basic Membership,32377.08,554.05,Poor Product Quality,1
19625,Silver Membership,5430.27,704.17,Poor Customer Service,0
19626,No Membership,4630.66,503.95,Poor Customer Service,1
19627,Silver Membership,43935.84,616.86,No reason specified,1
19628,Basic Membership,40939.98,643.43,Too many ads,1
19629,No Membership,5315.08,1070.555828507093,No reason specified,1
19630,No Membership,27088.76,177.37421748401349,No reason specified,1
19631,Basic Membership,8115.3,248.2757016480517,Poor Website,1
19632,Platinum Membership,31544.34,287.0785063913373,No reason specified,0
19633,Platinum Membership,21761.87,742.22,No reason specified,0
19634,No Membership,33190.86,637.77,Poor Product Quality,1
19635,Gold Membership,30957.27,711.55,No reason specified,1
19636,Silver Membership,34904.02,472.5802345040226,Poor Product Quality,1
19637,Basic Membership,7199.05,0.0,No reason specified,1
19638,Premium Membership,14741.14,770.71,Products always in Stock,0
19639,Silver Membership,25724.85,792.47,No reason specified,0
19640,No Membership,19111.39,0.0,Poor Customer Service,1
19641,Premium Membership,16249.53,738.28,No reason specified,0
19642,No Membership,40301.75,686.12,No reason specified,1
19643,Platinum Membership,41019.74,1310.5632966860426,Poor Customer Service,0
19644,Premium Membership,43842.0,776.8,Too many ads,0
19645,Premium Membership,24954.87,702.86,Poor Website,0
19646,Gold Membership,10812.51,744.4,User Friendly Website,0
19647,Basic Membership,29087.23,662.66,Poor Website,1
19648,Silver Membership,45844.29,660.65,Poor Customer Service,1
19649,No Membership,28872.49,409.8702456568397,No reason specified,1
19650,Gold Membership,34957.84,836.63,User Friendly Website,0
19651,Basic Membership,21686.97,606.95,No reason specified,1
19652,No Membership,33096.71,559.96,No reason specified,1
19653,Basic Membership,37212.84,698.38,No reason specified,1
19654,Basic Membership,31400.0,583.09,Poor Product Quality,1
19655,Basic Membership,13540.47,632.42,Poor Website,1
19656,Platinum Membership,29772.06,844.23,Quality Customer Care,0
19657,Basic Membership,44537.88,716.14,Poor Customer Service,1
19658,Gold Membership,4571.01,794.94,Poor Product Quality,0
19659,No Membership,30510.72,597.94,Too many ads,1
19660,Silver Membership,8226.73,704.98,No reason specified,0
19661,Basic Membership,9288.75,533.58,No reason specified,1
19662,Premium Membership,15786.32,704.13,Poor Product Quality,0
19663,Silver Membership,38181.39,708.69,Poor Product Quality,1
19664,Silver Membership,6916.58,783.8,Quality Customer Care,0
19665,No Membership,18104.39,637.3,Poor Website,0
19666,Silver Membership,45583.71,757.11,No reason specified,0
19667,Gold Membership,15628.64,1038.8031019163932,Poor Customer Service,1
19668,Basic Membership,24038.23,533.75,Poor Website,1
19669,Premium Membership,11161.94,389.3678366514154,Poor Customer Service,0
19670,Silver Membership,8524.34,1217.4017450708695,Poor Product Quality,0
19671,No Membership,1556.62,534.03,Poor Customer Service,1
19672,Basic Membership,43962.42,629.87,Poor Product Quality,1
19673,Silver Membership,40745.03,1099.67379168017,Poor Product Quality,0
19674,No Membership,4486.95,631.57,Poor Product Quality,1
19675,Basic Membership,2627.03,1178.766566032435,Too many ads,1
19676,Silver Membership,32990.22,777.97,No reason specified,0
19677,Gold Membership,33178.16,651.06,Too many ads,1
19678,Silver Membership,59692.61,241.07322341477783,Products always in Stock,0
19679,Premium Membership,5489.76,757.11,Poor Product Quality,0
19680,Platinum Membership,15420.65,732.56,Quality Customer Care,0
19681,Platinum Membership,43096.23,1357.9984621475828,Too many ads,0
19682,No Membership,5194.83,609.6,No reason specified,1
19683,Gold Membership,43299.21,0.0,Too many ads,1
19684,Premium Membership,13882.7,766.05,Poor Product Quality,0
19685,Basic Membership,12418.53,683.33,Poor Customer Service,1
19686,Gold Membership,34793.78,0.0,Poor Website,0
19687,Silver Membership,1186.75,697.8,No reason specified,1
19688,Basic Membership,10424.29,622.09,Poor Customer Service,1
19689,No Membership,43705.54,0.0,Too many ads,1
19690,No Membership,13256.43,645.84,Poor Website,1
19691,No Membership,23191.4,500.37,Poor Website,1
19692,No Membership,28213.87,616.0,Poor Customer Service,1
19693,Basic Membership,38238.64,503.93,Poor Customer Service,1
19694,Silver Membership,8763.48,706.3,Poor Customer Service,0
19695,Silver Membership,58510.61,769.87,Reasonable Price,0
